@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %07s "BC_LINE"
@ PARTICLE         %08s "POSITRON"
@ MASS             %le       0.00051099895
@ CHARGE           %le                   1
@ ENERGY           %le                1.54
@ PC               %le         1.539999915
@ GAMMA            %le         3013.704823
@ KBUNCH           %le                   1
@ BCURRENT         %le     1.735138389e-12
@ SIGE             %le               0.001
@ SIGT             %le                   1
@ NPART            %le                   1
@ EX               %le                   1
@ EY               %le                   1
@ ET               %le               0.001
@ BV_FLAG          %le                   1
@ LENGTH           %le         27.68196598
@ ALFA             %le                   0
@ ORBIT5           %le                  -0
@ GAMMATR          %le                   0
@ Q1               %le        0.5510471902
@ Q2               %le        0.6116114307
@ DQ1              %le       -0.9931447627
@ DQ2              %le       -0.1597696649
@ DXMAX            %le        0.2831689073
@ DYMAX            %le               0.001
@ XCOMAX           %le                   0
@ YCOMAX           %le                   0
@ BETXMAX          %le         20.67739429
@ BETYMAX          %le           22.218434
@ XCORMS           %le                   0
@ YCORMS           %le                   0
@ DXRMS            %le        0.1563647607
@ DYRMS            %le     0.0008114219688
@ DELTAP           %le                   0
@ SYNCH_1          %le       -0.2422654428
@ SYNCH_2          %le        0.6598013313
@ SYNCH_3          %le        0.2187984072
@ SYNCH_4          %le     -0.001515756785
@ SYNCH_5          %le       0.02611452962
@ SYNCH_6          %le          4.26000128
@ SYNCH_8          %le        0.0156144409
@ DQMIN            %le                   0
@ DQMIN_PHASE      %le                   0
@ TITLE            %01s "s"
@ ORIGIN           %17s "5.08.01 Darwin 64"
@ DATE             %08s "20/02/23"
@ TIME             %08s "11.04.31"
* NAME               KEYWORD                             S                  L               BETX               ALFX                 DX               BETY               ALFY                 DY              ANGLE                K1L                DDX 
$ %s                 %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le 
 "QPTL_BC_QF2"       "QUADRUPOLE"               17.69098299                0.3        9.996083282       0.3671284827       0.2629073976        7.191841093        1.469573529    6.988690382e-05                  0             -0.123      -0.2295398973
 "DPTL_BC_D5"        "DRIFT"                    18.44098299               0.75        9.509247131       0.2819863857       0.2759571686        5.234608211        1.140070313   -3.943180935e-05                  0                  0      -0.2516214707
 "BPTL_BC_B3"        "RBEND"                    18.94155619       0.5005732038        9.256415314       0.2254199346       0.2432230304        4.075797177        1.143003525   -0.0001118512313      -0.1658062789                  0      -0.2220475742
 "DPTL_BC_D6"        "DRIFT"                    19.39781349       0.4562572943        9.074348457       0.1736243309       0.1753376487        3.150591727       0.8848116154   -0.0001764547419                  0                  0      -0.1592313551
 "QPTL_BC_QF3"       "QUADRUPOLE"               19.69781349                0.3        8.694842977        1.077854592       0.1281379577        2.761796249       0.4249849581   -0.0002219946421                  0             0.1068      -0.1130479843
 "DPTL_BC_D7"        "DRIFT"                    20.15407078       0.4562572943        7.763041746       0.9644168255      0.05283884878         2.46298006       0.2299441636   -0.0002962801918                  0                  0      -0.0361465475
 "BPTL_BC_B4"        "RBEND"                    20.65464399       0.5005732038        6.863667674       0.8405304061       0.0120081114        2.275659494       0.1391122832   -0.0003736990558       0.1658062789                  0     0.005428757092
 "DPTL_BC_D8"        "DRIFT"                    21.05464399                0.4        6.231023628       0.7410797075      0.01246838714        2.236039597     -0.04006254152    -0.000431449049                  0                  0     0.005920669425
 "BPTL_BC_B1"        "RBEND"                    21.55521719       0.5005732038        5.554219623       0.6171932881      0.05444586183        2.326647287      -0.1384515042   -0.0004977750338       0.1658062789                  0     -0.03440222491
 "DPTL_BC_D2"        "DRIFT"                    22.01147448       0.4562572943        5.042778552       0.5037555214       0.1307949916        2.544173786      -0.3383112812   -0.0005519782389                  0                  0      -0.1101959683
 "QPTL_BC_QF1"       "QUADRUPOLE"               22.31147448                0.3        4.609226166       0.9259515665       0.1786389631        2.873760472      -0.7720193087   -0.0005966750815                  0             0.1068      -0.1556544413
 "DPTL_BC_D3"        "DRIFT"                    22.76773178       0.4562572943        3.848168698       0.7420929276       0.2474288067        3.693852101       -1.025413059   -0.0006787897525                  0                  0      -0.2173740729
 "BPTL_BC_B2"        "RBEND"                    23.26830498       0.5005732038        3.208676522       0.5412992316       0.2811507161        4.744376648       -1.044316205   -0.0007595281718      -0.1658062789                  0      -0.2458764378
 "DPTL_BC_D4"        "DRIFT"                    24.01830498               0.75        2.623399085       0.2390706844        0.269587708        6.558715012       -1.374801613   -0.0008648185651                  0                  0      -0.2219758068
 "QPTL_BC_QF2"       "QUADRUPOLE"               24.31830498                0.3        2.611117555      -0.1976299435        0.269923214        7.163571597      -0.6165266632    -0.000890769287                  0             -0.123      -0.2214407022
 "DPTL_BC_D5"        "DRIFT"                    25.06830498               0.75        3.131401453      -0.4960819202       0.2831689073        8.196730598      -0.7610186712   -0.0009148332657                  0                  0      -0.2426627403
 "BPTL_BC_B3"        "RBEND"                    25.56887819       0.5005732038        3.724581392      -0.6943665497       0.2505649353        8.772095264      -0.3725570174   -0.0009182902497      -0.1658062789                  0      -0.2124497409
 "DPTL_BC_D6"        "DRIFT"                    26.02513548       0.4562572943        4.441039615      -0.8759277382       0.1827987415        9.139083827      -0.4317886162   -0.0009099095556                  0                  0      -0.1491119289
 "QPTL_BC_QF3"       "QUADRUPOLE"               26.32513548                0.3        4.850097736      -0.4730056632       0.1355577937        9.711492455       -1.496574496   -0.0009189852897                  0             0.1068       -0.102629801
 "DPTL_BC_D7"        "DRIFT"                    26.78139277       0.4562572943        5.334246124      -0.5881245241      0.06001434055        11.14658387       -1.648781052   -0.0009550454511                  0                  0     -0.02534398632
 "BPTL_BC_B4"        "RBEND"                    27.28196598       0.5005732038        5.982996019      -0.7138468818      0.01891675259        12.55307697        -1.12227266   -0.0009814500266       0.1658062789                  0      0.01654802571
 "DPTL_BC_D8"        "DRIFT"                    27.68196598                0.4        6.594443329      -0.8147713929      0.01916281215        13.47969436       -1.194270814    -0.000991744391                  0                  0      0.01737399547
 "BC_LINE$END"       "MARKER"                   27.68196598                  0        6.594443329      -0.8147713929      0.01916281215        13.47969436       -1.194270814    -0.000991744391                  0                  0      0.01737399547
